name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
See No Evil,2014-08-25,0,Indie;Adventure;Puzzle,211,104,2.50,3.72,100000-200000,0.79,3.50,Gabriel Priske
A Vampyre Story,2014-07-15,0,Adventure;Point & Click;Vampire,49,35,0.00,0.00,0-20000,14.99,7.50,Autumn Moon Entertainment
Proxy Blade Zero,2014-07-28,0,Indie;Action;Hack and Slash,114,40,0.00,0.00,20000-50000,5.19,2.00,DragonSix
Boid,2016-07-08,0,Free to Play;Strategy;Indie,536,132,0.08,0.13,200000-500000,0.00,1.00,Mokus
Morphopolis,2014-08-14,0,Puzzle;Hidden Object;Casual,3846,749,3.65,3.00,200000-500000,2.89,2.00,
Deathsmiles,2016-03-10,0,Shoot 'Em Up;Bullet Hell;Arcade,276,7,11.47,11.47,20000-50000,14.99,1.00,Cave
Bionic Heart,2014-08-13,0,Adventure;Visual Novel;Indie,80,27,0.92,0.92,0-20000,6.99,2.50,Tycoon Games
Rodina,2014-07-28,0,Early Access;Space;Exploration,1111,76,1.22,1.22,20000-50000,11.39,8.00,Elliptic Games
Jet Gunner,2014-08-04,0,Action;Indie;Adventure,464,137,1.50,1.85,100000-200000,0.79,3.00,Sinclair Strange
The Forgotten Ones,2014-07-17,0,Horror;Free to Play;Adventure,903,601,0.40,0.40,500000-1000000,0.00,4.00,Bernt Andreas Eide
Obludia,2014-07-18,0,Action;Indie;Arcade,32,33,0.00,0.00,20000-50000,3.99,29.50,FobTi interactive
GamersGoMakers,2014-08-08,0,Simulation;Indie;Strategy,302,79,0.00,0.00,0-20000,6.19,14.00,Gnifrebel Games
DROD: Gunthro and the Epic Blunder,2016-09-23,0,Indie;Strategy;Adventure,54,6,0.00,0.00,0-20000,6.99,14.00,Caravel Games
Aritana and the Harpy's Feather,2014-08-15,0,Indie;Adventure;Platformer,85,9,0.00,0.00,0-20000,6.99,4.50,Duaik Entretenimento
Rampage Knights,2015-09-04,0,Action;Beat 'em up;Co-op,2301,189,4.83,5.25,200000-500000,8.99,10.50,Rake in Grass
